City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Mareeba,AU,57.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
525,Homer,US,55.78,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
527,Krasnyy Chikoy,RU,52.09,few clouds,50.3643,108.7512,Persona
532,Ust-Tsilma,RU,55.99,clear sky,65.441,52.1498,U Praskov'i
541,Stornoway,GB,59.94,light rain,58.2093,-6.3865,Caladh Inn
542,Batagay,RU,58.57,light rain,67.6333,134.6333,Gostinitsa Ki'ileekh
547,Flinders,AU,52.74,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
548,College,US,57.47,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
560,Nemuro,JP,59.49,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
575,Labytnangi,RU,51.66,scattered clouds,66.6572,66.4183,Priuralye Hotel
586,Honningsvag,NO,51.55,light intensity drizzle,70.9821,25.9704,Nordkapp Vandrerhjem
602,Viedma,AR,56.21,overcast clouds,-40.8135,-62.9967,Hotel Cristal
606,Whitehorse,CA,55.09,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
622,Imeni Poliny Osipenko,RU,56.8,broken clouds,52.4201,136.4853,Yubileynaya
623,Tashtagol,RU,51.84,few clouds,52.7657,87.8894,коттедж
650,Broken Hill,AU,52.41,clear sky,-31.95,141.4333,Royal Exchange Hotel
