,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,73.45,68,75,10.36,broken clouds
79,Senno,RU,59.5336,33.9167,69.26,67,10,5.68,clear sky
80,Tautira,PF,-17.7333,-149.15,78.94,74,3,16.08,clear sky
81,Bethel,US,41.3712,-73.414,93.09,25,80,4.79,broken clouds
82,Tiznit,MA,29.5833,-9.5,91.72,24,77,5.44,broken clouds
83,Weligama,LK,5.9667,80.4167,78.62,87,84,12.86,broken clouds
84,Vila Velha,BR,-20.3297,-40.2925,82.35,68,40,14.97,scattered clouds
85,Beira,MZ,-19.8436,34.8389,68.09,88,20,5.99,few clouds
86,Geraldton,AU,-28.7667,114.6,59.41,58,100,14.97,overcast clouds
87,Cidreira,BR,-30.1811,-50.2056,65.08,90,60,9.17,broken clouds
88,Atuona,PF,-9.8,-139.0333,76.77,81,29,18.88,light rain
89,Chuy,UY,-33.6971,-53.4616,64.74,88,97,7.58,overcast clouds
90,Lazaro Cardenas,MX,17.9583,-102.2,85.6,65,100,3.51,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,71.11,74,97,11.1,overcast clouds
92,Lovozero,RU,68.005,35.0117,54.88,86,100,7.02,light rain
93,Deputatskiy,RU,69.3,139.9,48.0,70,92,4.29,overcast clouds
94,Saint-Pierre,RE,-21.3393,55.4781,69.48,77,40,19.57,scattered clouds
95,Cabo San Lucas,MX,22.8909,-109.9124,79.61,81,98,4.23,overcast clouds
96,Gerash,IR,27.6652,54.1371,95.14,26,92,0.49,overcast clouds
97,Faya,SA,18.3851,42.4509,66.72,56,97,8.05,light rain
98,Dimona,IL,31.0667,35.0333,76.93,53,1,14.61,clear sky
99,Ballyshannon,IE,54.5,-8.1833,64.26,94,100,5.53,overcast clouds
100,Tessalit,ML,20.1986,1.0114,104.85,9,80,8.86,broken clouds
101,Sompeta,IN,18.9333,84.6,81.73,88,97,6.87,overcast clouds
102,Laguna De Duero,ES,41.5815,-4.7233,94.62,11,0,7.11,clear sky
103,Sistranda,NO,63.7256,8.834,57.16,84,100,24.45,overcast clouds
104,Aljezur,PT,37.3191,-8.8033,80.33,43,2,10.29,clear sky
105,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,8.05,moderate rain
106,Goderich,CA,43.7501,-81.7165,76.68,72,58,13.02,broken clouds
107,Dunedin,NZ,-45.8742,170.5036,43.81,69,0,8.99,clear sky
108,Isagarh,IN,24.8333,77.8833,79.75,82,100,7.4,moderate rain
109,Jamestown,US,42.097,-79.2353,87.03,56,0,9.22,clear sky
110,Mildura,AU,-34.2,142.15,52.81,78,40,7.9,scattered clouds
111,Jesup,US,31.6074,-81.8854,92.34,46,0,0.0,clear sky
112,Hilo,US,19.7297,-155.09,80.28,95,100,8.05,light rain
113,Airai,TL,-8.9266,125.4092,51.55,85,10,1.72,clear sky
114,Mapiri,BO,-15.25,-68.1667,85.96,42,47,1.52,scattered clouds
115,Iqaluit,CA,63.7506,-68.5145,46.13,93,75,4.61,broken clouds
116,Eureka,US,40.8021,-124.1637,59.94,83,45,1.01,scattered clouds
117,Wanaka,NZ,-44.7,169.15,31.1,92,69,1.99,broken clouds
118,Fort-Shevchenko,KZ,44.5086,50.263,75.16,62,49,7.7,scattered clouds
119,Kaeo,NZ,-35.1,173.7833,56.32,88,100,16.78,moderate rain
120,Lebu,CL,-37.6167,-73.65,53.71,91,100,5.53,overcast clouds
121,Kangaatsiaq,GL,68.3065,-53.4641,39.63,99,100,10.63,overcast clouds
122,Assare,BR,-6.8744,-39.875,88.27,34,56,9.22,broken clouds
123,Bengkulu,ID,-3.8004,102.2655,75.56,93,93,5.28,overcast clouds
124,Hasaki,JP,35.7333,140.8333,73.8,85,71,11.05,broken clouds
125,Fairbanks,US,64.8378,-147.7164,54.3,85,0,5.75,mist
126,Mahebourg,MU,-20.4081,57.7,70.09,83,40,14.97,scattered clouds
127,Dalen,NL,52.6992,6.7556,70.97,58,46,5.48,scattered clouds
128,Thompson,CA,55.7435,-97.8558,57.36,82,75,10.36,broken clouds
129,Taoudenni,ML,22.6783,-3.9836,110.55,6,0,7.18,clear sky
130,Fort Nelson,CA,58.8053,-122.7002,68.25,46,100,10.0,overcast clouds
131,Severo-Yeniseyskiy,RU,60.3725,93.0408,51.78,97,100,7.74,light rain
132,Kodinsk,RU,58.6881,99.1844,58.51,93,100,3.78,overcast clouds
133,Sorland,NO,67.667,12.6934,53.46,85,88,9.71,overcast clouds
134,Souillac,MU,-20.5167,57.5167,70.18,83,40,14.97,light rain
135,Bambous Virieux,MU,-20.3428,57.7575,70.41,74,67,19.66,light rain
136,Lunenburg,CA,44.3835,-64.3155,91.49,65,18,18.41,few clouds
137,Ponta Do Sol,PT,32.6667,-17.1,79.72,74,35,4.52,scattered clouds
138,Georgetown,MY,5.4112,100.3354,79.23,84,100,6.04,moderate rain
139,Miraflores,MX,19.2167,-98.8083,71.02,64,45,1.05,scattered clouds
140,Dharmavaram,IN,14.4333,77.7167,78.6,70,97,14.63,overcast clouds
141,Adre,TD,13.4667,22.2,83.91,49,58,7.83,broken clouds
142,Kavieng,PG,-2.5744,150.7967,82.33,74,4,12.71,clear sky
143,Fortuna,US,40.5982,-124.1573,67.44,63,41,7.45,scattered clouds
144,Aksarka,RU,66.5606,67.7975,49.42,80,27,4.14,scattered clouds
